Datetime,Miner Reserve
2025-02-09T00:00:00Z,1809863.47130878
2025-02-08T00:00:00Z,1809768.73133317
2025-02-07T00:00:00Z,1809682.83905678
2025-02-06T00:00:00Z,1809507.43891201
2025-02-05T00:00:00Z,1809518.71532219
2025-02-04T00:00:00Z,1810156.25522903
2025-02-03T00:00:00Z,1810401.10472979
2025-02-02T00:00:00Z,1811046.49523338
2025-02-01T00:00:00Z,1811644.36035472
2025-01-31T00:00:00Z,1810340.3006588
2025-01-30T00:00:00Z,1809701.44151329
2025-01-29T00:00:00Z,1809867.44020035
2025-01-28T00:00:00Z,1809428.84311434
2025-01-27T00:00:00Z,1809575.52165521
2025-01-26T00:00:00Z,1809765.38582178
2025-01-25T00:00:00Z,1809252.27796288
2025-01-24T00:00:00Z,1809471.32135096
2025-01-23T00:00:00Z,1809800.64935763
2025-01-22T00:00:00Z,1808878.4023722
2025-01-21T00:00:00Z,1809395.12424927
2025-01-20T00:00:00Z,1809081.50801386
2025-01-19T00:00:00Z,1809826.07631193
2025-01-18T00:00:00Z,1809229.36636384
2025-01-17T00:00:00Z,1809448.5381518
2025-01-16T00:00:00Z,1808843.2268811
2025-01-15T00:00:00Z,1809536.14748443
2025-01-14T00:00:00Z,1809107.25443025
2025-01-13T00:00:00Z,1809213.83501984
2025-01-12T00:00:00Z,1809247.70997549
2025-01-11T00:00:00Z,1809660.40349345
2025-01-10T00:00:00Z,1809060.68403172
2025-01-09T00:00:00Z,1808570.1626521
2025-01-08T00:00:00Z,1809025.33160197
2025-01-07T00:00:00Z,1808855.20167764
2025-01-06T00:00:00Z,1809160.68266785
2025-01-05T00:00:00Z,1808749.4813089
2025-01-04T00:00:00Z,1808622.07206659
2025-01-03T00:00:00Z,1808904.07820795
2025-01-02T00:00:00Z,1809296.73415234
2025-01-01T00:00:00Z,1808861.19114991
2024-12-31T00:00:00Z,1808993.96931528
2024-12-30T00:00:00Z,1809012.83825587
2024-12-29T00:00:00Z,1808769.78575247
2024-12-28T00:00:00Z,1808549.06296789
2024-12-27T00:00:00Z,1808438.3517296
2024-12-26T00:00:00Z,1808643.61192539
2024-12-25T00:00:00Z,1808339.14824815
2024-12-24T00:00:00Z,1808882.94540619
2024-12-23T00:00:00Z,1811158.49508413
2024-12-22T00:00:00Z,1811885.46519443
2024-12-21T00:00:00Z,1811786.3831542
2024-12-20T00:00:00Z,1812287.47445111
