Datetime,Active Addresses,Exchange Reserve,Exchange Netflow,Fee-Reward Ratio,Funding Rates,Hashrate,Mean Coin Age,Miner Reserve,MVRV Ratio,Open Interest,Puell Multiple,SOPR
2025-06-09 00:00:00+00:00,893460.0,2502490.21484381,-3127.6335529299977,0.01130886,0.00292655,883725308598.0692,1617.12022683,1808100.55898909,2.34097379,37842514470.635414,1.24300072942687,1.01366931
2025-06-08 00:00:00+00:00,779831.0,2505617.84839674,370.8634275900003,0.00658059,0.0021240233333333,965785515825.0328,1616.48545327,1807720.97316162,2.24711985,36049539270.315125,1.337594723893454,1.01170988
2025-06-07 00:00:00+00:00,787698.0,2505246.98496915,-1925.6985279699993,0.00729383,-0.0009487749999999,902662279496.5994,1615.7645291,1807631.31602801,2.24542871,36013965984.4253,1.2455407031089372,1.01358299
2025-06-06 00:00:00+00:00,859500.0,2507172.68349712,-6228.992663789999,0.01047452,-0.0047032516666666,845851366801.0092,1615.11094645,1807637.8869195,2.22051532,35434650625.12105,1.1528751253097589,1.00688936
2025-06-05 00:00:00+00:00,866463.0,2513401.67616091,450.1949656100005,0.01151029,0.0014019433333333,845851366801.0092,1614.50135048,1807729.60416404,2.16218939,33851013672.22752,1.156797463987394,1.00277151
2025-06-04 00:00:00+00:00,863634.0,2512951.4811953,-12813.432952260002,0.01184085,0.0032680816666666,795352777738.2623,1613.8707776,1807732.9499259,2.22892132,34741563148.6052,1.103436000257631,1.02181763
2025-06-03 00:00:00+00:00,1019819.0,2525764.91414756,-22430.30395803,0.01057477,0.003108315,908974603129.4426,1614.21223339,1808611.61762143,2.24693429,35471761723.87106,1.2670524078849474,1.02712695
2025-06-02 00:00:00+00:00,923053.0,2548195.21810559,-23067.615255809997,0.01135884,0.0034975366666666,839539043168.1658,1613.80787205,1807707.60444364,2.26295462,35336055064.82381,1.1607140711044608,1.03012236
2025-06-01 00:00:00+00:00,827916.0,2571262.8333614,-2738.33690267,0.00829916,0.0011714116666666,839539043168.1658,1613.50204398,1807686.85575663,2.26396318,35849986269.743706,1.156453386952372,1.00426103
2025-05-31 00:00:00+00:00,839988.0,2574001.17026407,-2732.21284869,0.00794787,0.0014257533333333,1016284104887.7795,1612.72526427,1806906.32422187,2.24258809,35878491145.78225,1.3941134507451705,1.00107119
2025-05-30 00:00:00+00:00,1010560.0,2576733.38311276,-558.5751471700023,0.01207713,0.00281579,937389530564.634,1611.9253432,1806867.91825132,2.22939766,35479699711.9389,1.3644122593851054,1.01140192
2025-05-29 00:00:00+00:00,949203.0,2577309.52989255,-10891.407568880004,0.01054824,0.0047106299999999,955532553736.8528,1611.4646755,1807061.74518964,2.26365857,37000435121.452545,1.4197129842087266,1.02597704
2025-05-28 00:00:00+00:00,1088447.0,2588200.93746143,-2606.983105309999,0.01543987,0.004080975,991818600081.2902,1611.82372817,1806896.15165539,2.31669449,37112016423.20133,1.494098605046065,1.01693541
2025-05-27 00:00:00+00:00,914906.0,2590807.92056674,-3355.0571654800005,0.01272506,0.00670016,852722089094.28,1611.47606345,1807279.52589241,2.34410543,36761309873.611244,1.2972403770350884,1.04113863
2025-05-26 00:00:00+00:00,962746.0,2594162.97773222,-10951.33660282,0.01063716,0.0073227633333333,925294181783.1548,1611.73298536,1806900.10405894,2.36278342,37550904620.03302,1.4094816608624523,1.04085498
2025-05-25 00:00:00+00:00,875289.0,2605114.31433504,-1520.3335783400007,0.0085702,0.00601564,913198833001.6758,1612.32034912,1806897.2050112,2.35964812,36935304306.76556,1.363880333020321,1.01000509
2025-05-24 00:00:00+00:00,897126.0,2606634.64791338,-2871.9515764000007,0.01172066,0.0061087849999999,852722089094.28,1611.79179303,1806989.98713347,2.33372969,36165422201.14537,1.2890853798506017,1.00748457
2025-05-23 00:00:00+00:00,1049732.0,2609506.59948978,-700.6453014500003,0.01240048,0.0089964316666666,937389530564.634,1611.03187267,1806642.21040332,2.32391097,35150152677.311264,1.4388393049801569,1.02069214
2025-05-22 00:00:00+00:00,1100527.0,2610207.24479123,4754.96595356,0.0166441,0.0112511233333333,907151158610.9362,1610.82361183,1807435.08161184,2.42479792,37919894212.96591,1.41381999099293,1.02302467
2025-05-21 00:00:00+00:00,1070843.0,2605452.27883767,-5999.060500680003,0.01725119,0.0078044233333333,870865112266.4988,1610.63134379,1808636.13046169,2.38767132,36214808859.50339,1.3165308574053904,1.02729682
2025-05-20 00:00:00+00:00,914048.0,2611451.33933835,-5859.041813469998,0.01579372,0.0054287783333333,895055809829.457,1611.04640015,1808939.13222418,2.33220662,34875373839.18544,1.3302156739116393,1.02615476
